customer_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,rfm_segment,cluster,segment_label
1120,2024-10-11,6,1659.28,82,5,5,5,15,champions,0,High Value
1121,2022-04-21,1,427.2,986,1,1,2,4,Lost,2,Lost
1122,2024-07-20,2,1130.08,165,4,2,4,10,New Customers,1,At-Risk
1123,2024-01-26,2,648.0699999999999,341,3,2,3,8,Potential Loyalists,1,At-Risk
1124,2022-10-03,2,343.63,821,1,2,2,5,Hibernating,2,Lost
1125,2023-07-11,1,821.67,540,2,1,3,6,Hibernating,2,Lost
1126,2024-09-25,1,211.44,98,4,1,1,6,New Customers,1,At-Risk
1127,2024-03-04,6,1764.4,303,3,5,5,13,Loyal Customers,0,High Value
1128,2022-12-28,2,803.89,735,1,2,3,6,Hibernating,2,Lost
1129,2022-06-21,1,112.74,925,1,1,1,3,Lost,2,Lost
1130,2024-05-07,2,1519.06,239,3,2,5,10,Potential Loyalists,4,Potential
1131,2024-07-20,4,1779.12,165,4,4,5,13,champions,0,High Value
1133,2024-04-29,2,602.72,247,3,2,3,8,Potential Loyalists,1,At-Risk
1134,2022-07-23,2,1540.36,893,1,2,5,8,Hibernating,4,Potential
1135,2024-02-03,2,484.65,333,3,2,2,7,Hibernating,1,At-Risk
1136,2024-06-18,1,441.87,197,4,1,2,7,New Customers,1,At-Risk
1137,2023-12-29,6,1245.24,369,2,5,4,11,At-Risk,0,High Value
1138,2023-11-29,2,258.98,399,2,2,1,5,At-Risk,1,At-Risk
1139,2023-06-25,2,1073.64,556,2,2,4,8,At-Risk,4,Potential
1140,2024-02-02,3,726.4100000000001,334,3,3,3,9,Loyal Customers,4,Potential
1142,2024-12-06,3,773.25,26,5,3,3,11,Loyal Customers,3,Loyal
1144,2024-08-01,3,1391.36,153,4,3,5,12,Loyal Customers,3,Loyal
1145,2023-02-19,1,440.94,682,1,1,2,4,Lost,2,Lost
1146,2023-06-05,1,297.22,576,2,1,1,4,Hibernating,2,Lost
1147,2024-12-12,4,2871.1,20,5,4,5,14,champions,0,High Value
1148,2023-12-28,3,322.56,370,2,3,2,7,At-Risk,1,At-Risk
1149,2024-12-20,1,155.88,12,5,1,1,7,New Customers,1,At-Risk
1150,2023-09-14,3,898.57,475,2,3,4,9,At-Risk,4,Potential
1151,2022-12-21,3,1612.05,742,1,3,5,9,Cannot Lose Them,4,Potential
1152,2023-04-30,2,182.79,612,1,2,1,4,Hibernating,2,Lost
1153,2023-08-02,1,609.57,518,2,1,3,6,Hibernating,2,Lost
1155,2023-10-08,2,852.5,451,2,2,3,7,At-Risk,4,Potential
1156,2024-01-18,2,1213.94,349,3,2,4,9,Potential Loyalists,4,Potential
1157,2023-12-23,2,3079.87,375,2,2,5,9,At-Risk,0,High Value
1158,2022-12-19,2,293.79,744,1,2,1,4,Hibernating,2,Lost
1159,2023-01-02,1,646.58,730,1,1,3,5,Lost,2,Lost
1160,2024-05-27,2,628.14,219,3,2,3,8,Potential Loyalists,1,At-Risk
1161,2023-02-10,3,619.59,691,1,3,3,7,Cannot Lose Them,4,Potential
1162,2024-12-13,4,775.34,19,5,4,3,12,Loyal Customers,3,Loyal
1163,2024-06-24,1,68.16,191,4,1,1,6,New Customers,1,At-Risk
1164,2024-12-17,5,2573.13,15,5,5,5,15,champions,0,High Value
1165,2024-02-06,2,338.48,330,3,2,2,7,Hibernating,1,At-Risk
1166,2024-09-13,2,469.24,110,4,2,2,8,New Customers,1,At-Risk
1167,2023-01-02,1,139.76,730,1,1,1,3,Lost,2,Lost
1168,2024-11-05,3,761.26,57,5,3,3,11,Loyal Customers,3,Loyal
1169,2023-07-10,5,1146.26,541,2,5,4,11,At-Risk,4,Potential
1170,2024-06-14,2,542.4300000000001,201,4,2,2,8,New Customers,1,At-Risk
1171,2024-11-29,5,590.26,33,5,5,3,13,Loyal Customers,3,Loyal
1173,2024-02-06,4,482.49,330,3,4,2,9,Loyal Customers,3,Loyal
1174,2024-05-10,1,594.12,236,3,1,3,7,Hibernating,1,At-Risk
1176,2023-08-01,2,422.51,519,2,2,2,6,At-Risk,4,Potential
1177,2024-09-09,2,365.66,114,4,2,2,8,New Customers,1,At-Risk
1178,2024-04-25,2,339.5,251,3,2,2,7,Hibernating,1,At-Risk
1180,2024-07-05,3,639.9,180,4,3,3,10,Loyal Customers,3,Loyal
1181,2023-10-19,1,80.9,440,2,1,1,4,Hibernating,1,At-Risk
1182,2024-09-06,2,587.38,117,4,2,3,9,New Customers,1,At-Risk
1183,2024-11-08,1,312.24,54,5,1,1,7,New Customers,1,At-Risk
1184,2024-02-03,2,659.31,333,3,2,3,8,Potential Loyalists,1,At-Risk
1185,2024-11-10,4,1860.41,52,5,4,5,14,champions,0,High Value
1186,2023-11-16,1,169.37,412,2,1,1,4,Hibernating,1,At-Risk
1188,2024-06-20,3,728.16,195,4,3,3,10,Loyal Customers,3,Loyal
1189,2022-02-11,1,636.87,1055,1,1,3,5,Lost,2,Lost
1190,2024-11-05,5,1288.24,57,5,5,4,14,champions,3,Loyal
1191,2023-12-16,1,295.75,382,2,1,1,4,Hibernating,1,At-Risk
1192,2022-12-24,1,51.91,739,1,1,1,3,Lost,2,Lost
1193,2023-01-14,2,428.81,718,1,2,2,5,Hibernating,2,Lost
1194,2024-11-23,2,443.71,39,5,2,2,9,New Customers,1,At-Risk
1195,2024-03-14,3,585.4100000000001,293,3,3,3,9,Loyal Customers,3,Loyal
1196,2024-03-25,1,192.38,282,3,1,1,5,Hibernating,1,At-Risk
1197,2023-09-09,3,741.35,480,2,3,3,8,At-Risk,4,Potential
1198,2024-04-16,5,2301.34,260,3,5,5,13,Loyal Customers,0,High Value
1199,2024-11-27,5,2431.5,35,5,5,5,15,champions,0,High Value
1200,2024-07-02,3,1351.21,183,4,3,4,11,Loyal Customers,3,Loyal
1201,2024-07-02,2,795.91,183,4,2,3,9,New Customers,1,At-Risk
1202,2024-09-24,2,607.04,99,4,2,3,9,New Customers,1,At-Risk
1203,2024-08-13,1,358.02,141,4,1,2,7,New Customers,1,At-Risk
1204,2023-07-29,3,771.1800000000001,522,2,3,3,8,At-Risk,4,Potential
1205,2024-10-27,4,766.08,66,5,4,3,12,Loyal Customers,3,Loyal
1206,2023-05-28,2,938.84,584,2,2,4,8,At-Risk,4,Potential
1207,2024-10-31,2,672.99,62,5,2,3,10,New Customers,1,At-Risk
1208,2024-11-18,3,976.38,44,5,3,4,12,Loyal Customers,3,Loyal
1209,2024-08-16,3,854.48,138,4,3,3,10,Loyal Customers,3,Loyal
1210,2023-02-11,1,510.07,690,1,1,2,4,Lost,2,Lost
1211,2023-11-26,6,1029.63,402,2,5,4,11,At-Risk,3,Loyal
1212,2022-07-27,1,484.58,889,1,1,2,4,Lost,2,Lost
1213,2023-10-07,4,1064.66,452,2,4,4,10,At-Risk,4,Potential
1214,2022-07-28,1,448.66,888,1,1,2,4,Lost,2,Lost
1218,2024-12-25,2,572.3299999999999,7,5,2,3,10,New Customers,1,At-Risk
1219,2023-06-07,2,451.29,574,2,2,2,6,At-Risk,2,Lost
1220,2024-07-14,3,1384.5100000000002,171,4,3,5,12,Loyal Customers,3,Loyal
1221,2024-11-20,2,232.29,42,5,2,1,8,New Customers,1,At-Risk
1222,2024-04-06,1,171.16,270,3,1,1,5,Hibernating,1,At-Risk
1223,2024-08-19,2,171.85,135,4,2,1,7,New Customers,1,At-Risk
1224,2022-12-03,2,927.1,760,1,2,4,7,Hibernating,2,Lost
1225,2023-03-31,3,1033.17,642,1,3,4,8,Cannot Lose Them,4,Potential
1226,2024-09-20,5,1933.55,103,4,5,5,14,champions,0,High Value
1227,2022-10-09,2,830.44,815,1,2,3,6,Hibernating,2,Lost
1228,2023-04-19,3,1079.07,623,1,3,4,8,Cannot Lose Them,4,Potential
1229,2024-05-17,2,1570.33,229,3,2,5,10,Potential Loyalists,3,Loyal
1230,2024-10-25,5,2364.03,68,5,5,5,15,champions,0,High Value
1231,2023-03-11,1,998.25,662,1,1,4,6,Lost,2,Lost
1232,2024-11-16,6,2566.71,46,5,5,5,15,champions,0,High Value
1234,2022-08-06,1,200.87,879,1,1,1,3,Lost,2,Lost
1235,2023-10-23,3,1892.19,436,2,3,5,10,At-Risk,4,Potential
1236,2024-04-10,3,592.44,266,3,3,3,9,Loyal Customers,3,Loyal
1237,2024-03-19,6,1747.12,288,3,5,5,13,Loyal Customers,0,High Value
1238,2024-08-11,4,1188.94,143,4,4,4,12,champions,3,Loyal
1239,2023-12-08,1,149.45,390,2,1,1,4,Hibernating,1,At-Risk
1240,2023-09-04,2,436.05,485,2,2,2,6,At-Risk,4,Potential
1241,2023-04-12,4,973.73,630,1,4,4,9,Cannot Lose Them,4,Potential
1242,2023-11-02,4,1119.5800000000002,426,2,4,4,10,At-Risk,4,Potential
1243,2023-06-14,2,352.72,567,2,2,2,6,At-Risk,2,Lost
1244,2024-11-23,2,754.8499999999999,39,5,2,3,10,New Customers,1,At-Risk
1245,2023-09-18,2,285.38,471,2,2,1,5,At-Risk,1,At-Risk
1246,2024-06-19,2,692.51,196,4,2,3,9,New Customers,1,At-Risk
1247,2022-02-03,1,890.38,1063,1,1,4,6,Lost,2,Lost
1249,2024-07-31,5,1645.68,154,4,5,5,14,champions,0,High Value
1250,2024-11-05,2,997.68,57,5,2,4,11,New Customers,1,At-Risk
1251,2024-09-01,4,1354.66,122,4,4,5,13,champions,3,Loyal
1252,2024-08-23,6,1717.06,131,4,5,5,14,champions,0,High Value
1253,2024-11-08,4,904.81,54,5,4,4,13,champions,3,Loyal
1254,2024-09-07,1,450.11,116,4,1,2,7,New Customers,1,At-Risk
1255,2024-11-18,1,436.07,44,5,1,2,8,New Customers,1,At-Risk
1256,2022-12-08,1,263.97,755,1,1,1,3,Lost,2,Lost
1257,2023-05-31,2,606.92,581,2,2,3,7,At-Risk,4,Potential
1258,2023-05-02,1,128.65,610,1,1,1,3,Lost,2,Lost
1259,2024-09-13,3,419.9500000000001,110,4,3,2,9,Loyal Customers,3,Loyal
1260,2024-03-05,5,1895.9,302,3,5,5,13,Loyal Customers,0,High Value
1261,2024-12-22,3,593.67,10,5,3,3,11,Loyal Customers,3,Loyal
1262,2024-08-18,2,694.63,136,4,2,3,9,New Customers,1,At-Risk
1263,2022-08-22,1,141.51,863,1,1,1,3,Lost,2,Lost
1264,2024-10-30,2,523.81,63,5,2,2,9,New Customers,1,At-Risk
1266,2023-02-28,2,653.98,673,1,2,3,6,Hibernating,2,Lost
1267,2024-12-09,8,2577.1,23,5,5,5,15,champions,0,High Value
1268,2022-06-15,1,560.92,931,1,1,2,4,Lost,2,Lost
1269,2022-03-28,1,87.07,1010,1,1,1,3,Lost,2,Lost
1270,2023-09-18,2,142.62,471,2,2,1,5,At-Risk,1,At-Risk
1272,2023-09-30,2,323.16,459,2,2,2,6,At-Risk,1,At-Risk
1273,2024-05-01,2,491.48,245,3,2,2,7,Hibernating,1,At-Risk
1274,2024-04-06,3,1206.64,270,3,3,4,10,Loyal Customers,3,Loyal
1275,2023-03-10,2,468.55,663,1,2,2,5,Hibernating,2,Lost
1276,2022-09-14,1,407.31,840,1,1,2,4,Lost,2,Lost
1277,2024-12-25,6,2080.52,7,5,5,5,15,champions,0,High Value
1278,2024-09-29,4,1167.56,94,4,4,4,12,champions,3,Loyal
1279,2024-09-18,6,1254.25,105,4,5,4,13,champions,0,High Value
1280,2024-02-27,2,642.67,309,3,2,3,8,Potential Loyalists,1,At-Risk
1281,2024-01-31,6,4364.62,336,3,5,5,13,Loyal Customers,0,High Value
1282,2024-07-08,4,964.04,177,4,4,4,12,champions,3,Loyal
1283,2024-12-11,2,1024.95,21,5,2,4,11,New Customers,1,At-Risk
1284,2024-02-03,2,823.24,333,3,2,3,8,Potential Loyalists,1,At-Risk
1285,2022-08-27,2,485.8,858,1,2,2,5,Hibernating,2,Lost
1286,2024-06-19,5,1558.23,196,4,5,5,14,champions,0,High Value
1287,2024-06-20,2,750.0,195,4,2,3,9,New Customers,1,At-Risk
1288,2024-06-20,1,499.69,195,4,1,2,7,New Customers,1,At-Risk
1289,2022-05-20,2,253.76,957,1,2,1,4,Hibernating,2,Lost
1290,2022-10-31,3,1641.06,793,1,3,5,9,Cannot Lose Them,4,Potential
1291,2024-06-15,3,684.39,200,4,3,3,10,Loyal Customers,3,Loyal
1292,2022-10-14,1,307.7,810,1,1,1,3,Lost,2,Lost
1293,2022-02-28,1,54.93,1038,1,1,1,3,Lost,2,Lost
1294,2023-05-24,3,610.42,588,2,3,3,8,At-Risk,4,Potential
1295,2024-10-02,4,1388.36,91,5,4,5,14,champions,3,Loyal
1296,2022-07-11,1,711.5,905,1,1,3,5,Lost,2,Lost
1297,2023-05-06,2,703.61,606,1,2,3,6,Hibernating,4,Potential
1298,2024-01-23,2,654.29,344,3,2,3,8,Potential Loyalists,1,At-Risk
1299,2023-10-24,2,426.9,435,2,2,2,6,At-Risk,1,At-Risk
1300,2023-08-26,2,491.81,494,2,2,2,6,At-Risk,4,Potential
1301,2024-11-19,6,1629.0700000000002,43,5,5,5,15,champions,0,High Value
1303,2023-06-24,2,879.22,557,2,2,3,7,At-Risk,4,Potential
1304,2022-04-11,1,98.96,996,1,1,1,3,Lost,2,Lost
1305,2024-09-06,1,130.88,117,4,1,1,6,New Customers,1,At-Risk
1306,2024-10-02,1,157.32,91,5,1,1,7,New Customers,1,At-Risk
1308,2023-04-12,2,187.41,630,1,2,1,4,Hibernating,2,Lost
1311,2024-06-03,1,347.61,212,3,1,2,6,Hibernating,1,At-Risk
1312,2024-06-09,3,1033.15,206,3,3,4,10,Loyal Customers,3,Loyal
1313,2024-06-02,3,1116.73,213,3,3,4,10,Loyal Customers,3,Loyal
1314,2024-03-06,7,2237.58,301,3,5,5,13,Loyal Customers,0,High Value
1315,2024-04-06,4,1093.97,270,3,4,4,11,Loyal Customers,3,Loyal
1316,2024-07-30,3,339.21000000000004,155,4,3,2,9,Loyal Customers,1,At-Risk
1317,2023-06-22,2,308.85,559,2,2,1,5,At-Risk,2,Lost
1318,2023-09-07,3,1284.31,482,2,3,4,9,At-Risk,4,Potential
1319,2024-05-25,3,949.79,221,3,3,4,10,Loyal Customers,3,Loyal
1320,2024-12-14,3,779.73,18,5,3,3,11,Loyal Customers,3,Loyal
1321,2023-05-13,1,673.26,599,1,1,3,5,Lost,2,Lost
1322,2023-05-04,1,732.43,608,1,1,3,5,Lost,2,Lost
1324,2024-08-06,1,216.29,148,4,1,1,6,New Customers,1,At-Risk
1325,2023-02-22,1,140.39,679,1,1,1,3,Lost,2,Lost
1326,2024-06-02,4,1714.41,213,3,4,5,12,Loyal Customers,3,Loyal
1327,2022-09-06,1,93.3,848,1,1,1,3,Lost,2,Lost
1328,2024-12-28,4,664.72,4,5,4,3,12,Loyal Customers,3,Loyal
1329,2023-09-07,1,250.11,482,2,1,1,4,Hibernating,1,At-Risk
1330,2024-06-23,2,1349.92,192,4,2,4,10,New Customers,3,Loyal
1331,2022-12-01,2,2278.89,762,1,2,5,8,Hibernating,4,Potential
1332,2022-05-11,1,409.39,966,1,1,2,4,Lost,2,Lost
1333,2024-04-26,2,1857.64,250,3,2,5,10,Potential Loyalists,4,Potential
1334,2022-11-30,1,546.71,763,1,1,2,4,Lost,2,Lost
1335,2024-09-23,4,2884.71,100,4,4,5,13,champions,0,High Value
1336,2024-02-19,3,502.93,317,3,3,2,8,Loyal Customers,1,At-Risk
1337,2024-10-12,1,208.15,81,5,1,1,7,New Customers,1,At-Risk
1338,2022-12-03,1,183.89,760,1,1,1,3,Lost,2,Lost
1339,2022-10-26,2,522.5799999999999,798,1,2,2,5,Hibernating,2,Lost
1340,2023-09-28,7,1864.26,461,2,5,5,12,At-Risk,0,High Value
1341,2024-10-31,3,762.34,62,5,3,3,11,Loyal Customers,3,Loyal
1342,2024-06-28,5,1314.71,187,4,5,4,13,champions,3,Loyal
1343,2024-07-11,1,265.28,174,4,1,1,6,New Customers,1,At-Risk
1344,2024-03-10,1,326.67,297,3,1,2,6,Hibernating,1,At-Risk
1345,2023-02-01,1,76.3,700,1,1,1,3,Lost,2,Lost
1346,2024-02-23,3,788.99,313,3,3,3,9,Loyal Customers,3,Loyal
1347,2024-04-22,3,639.34,254,3,3,3,9,Loyal Customers,3,Loyal
1348,2024-01-27,1,555.85,340,3,1,2,6,Hibernating,1,At-Risk
1349,2024-01-11,3,1238.58,356,3,3,4,10,Loyal Customers,4,Potential
1350,2024-01-24,1,971.21,343,3,1,4,8,Hibernating,1,At-Risk
1351,2023-09-21,1,191.75,468,2,1,1,4,Hibernating,1,At-Risk
1352,2024-06-08,2,596.17,207,3,2,3,8,Potential Loyalists,1,At-Risk
1353,2024-04-29,2,245.91,247,3,2,1,6,Hibernating,1,At-Risk
1354,2024-02-01,4,1498.7,335,3,4,5,12,Loyal Customers,3,Loyal
1355,2023-08-03,3,778.94,517,2,3,3,8,At-Risk,4,Potential
1356,2024-04-29,2,396.74,247,3,2,2,7,Hibernating,1,At-Risk
1357,2024-11-07,5,667.22,55,5,5,3,13,Loyal Customers,3,Loyal
1358,2022-02-23,1,347.06,1043,1,1,2,4,Lost,2,Lost
1359,2023-04-30,4,838.16,612,1,4,3,8,Cannot Lose Them,4,Potential
1360,2024-02-27,3,557.95,309,3,3,2,8,Loyal Customers,3,Loyal
1361,2024-07-04,1,340.47,181,4,1,2,7,New Customers,1,At-Risk
1362,2023-06-21,2,389.58,560,2,2,2,6,At-Risk,2,Lost
1364,2022-04-27,1,524.82,980,1,1,2,4,Lost,2,Lost
1365,2023-12-06,1,222.38,392,2,1,1,4,Hibernating,1,At-Risk
1366,2023-12-19,3,494.61,379,2,3,2,7,At-Risk,4,Potential
1367,2024-03-15,3,1070.79,292,3,3,4,10,Loyal Customers,3,Loyal
1368,2022-04-02,1,96.86,1005,1,1,1,3,Lost,2,Lost
1369,2024-05-29,2,342.01,217,3,2,2,7,Hibernating,1,At-Risk
1370,2024-11-16,2,339.77,46,5,2,2,9,New Customers,1,At-Risk
1371,2023-02-06,1,583.46,695,1,1,3,5,Lost,2,Lost
1372,2024-12-23,5,1587.53,9,5,5,5,15,champions,0,High Value
1374,2023-01-11,2,1039.74,721,1,2,4,7,Hibernating,4,Potential
1375,2024-01-23,3,885.45,344,3,3,4,10,Loyal Customers,4,Potential
1376,2024-12-25,3,664.33,7,5,3,3,11,Loyal Customers,3,Loyal
1377,2024-10-26,2,583.69,67,5,2,3,10,New Customers,1,At-Risk
1378,2024-02-26,4,835.9000000000001,310,3,4,3,10,Loyal Customers,3,Loyal
1379,2024-01-22,4,884.5,345,3,4,3,10,Loyal Customers,3,Loyal
1380,2024-08-03,2,869.33,151,4,2,3,9,New Customers,1,At-Risk
1382,2023-10-07,1,408.95,452,2,1,2,5,Hibernating,1,At-Risk
1383,2024-09-11,6,2343.78,112,4,5,5,14,champions,0,High Value
1384,2023-03-12,2,250.06,661,1,2,1,4,Hibernating,2,Lost
1385,2024-05-28,5,958.19,218,3,5,4,12,Loyal Customers,3,Loyal
1386,2022-09-07,1,97.03,847,1,1,1,3,Lost,2,Lost
1387,2024-12-30,2,704.8399999999999,2,5,2,3,10,New Customers,1,At-Risk
