customer_id,last_order_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,rfm_segment
1081,2024-03-27,2,547.13,280,3,2,2,7,Hibernating
1082,2022-02-10,1,408.7,1056,1,1,2,4,Lost
1083,2022-11-20,2,842.51,773,1,2,3,6,Hibernating
1084,2024-09-08,2,364.12,115,4,2,2,8,New Customers
1085,2023-06-20,2,564.33,561,2,2,2,6,At-Risk
1086,2022-03-11,1,181.35,1027,1,1,1,3,Lost
1087,2023-05-15,2,752.5899999999999,597,2,2,3,7,At-Risk
1088,2022-11-12,2,842.99,781,1,2,3,6,Hibernating
1089,2024-06-25,2,256.85,190,4,2,1,7,New Customers
1090,2024-12-08,2,974.22,24,5,2,4,11,New Customers
1091,2024-10-08,2,294.08000000000004,85,5,2,1,8,New Customers
1092,2024-12-22,4,2447.06,10,5,4,5,14,champions
1093,2024-02-22,2,935.5699999999999,314,3,2,4,9,Potential Loyalists
1094,2024-12-20,3,1196.1,12,5,3,4,12,Loyal Customers
1095,2024-05-26,2,762.8900000000001,220,3,2,3,8,Potential Loyalists
1096,2023-02-17,1,703.8,684,1,1,3,5,Lost
1097,2023-03-12,2,683.64,661,1,2,3,6,Hibernating
1099,2024-09-16,3,723.0,107,4,3,3,10,Loyal Customers
1100,2022-01-24,1,357.76,1073,1,1,2,4,Lost
1101,2024-02-21,4,3024.4399999999996,315,3,4,5,12,Loyal Customers
1102,2024-11-07,3,537.64,55,5,3,2,10,Loyal Customers
1103,2024-12-25,5,1327.64,7,5,5,4,14,champions
1104,2022-09-07,1,23.11,847,1,1,1,3,Lost
1105,2024-07-30,3,585.48,155,4,3,3,10,Loyal Customers
1107,2024-10-11,7,3645.51,82,5,5,5,15,champions
1108,2024-03-18,7,2771.02,289,3,5,5,13,Loyal Customers
1109,2022-03-03,1,301.19,1035,1,1,1,3,Lost
1110,2023-10-05,5,1713.98,454,2,5,5,12,At-Risk
1111,2023-03-06,3,845.8899999999999,667,1,3,3,7,Cannot Lose Them
1112,2024-01-29,2,585.52,338,3,2,3,8,Potential Loyalists
1113,2024-11-19,5,1061.27,43,5,5,4,14,champions
1114,2024-10-09,3,804.49,84,5,3,3,11,Loyal Customers
1116,2024-04-05,3,1764.4,271,3,3,5,11,Loyal Customers
1117,2023-11-14,2,1488.51,414,2,2,5,9,At-Risk
1118,2022-01-04,1,648.23,1093,1,1,3,5,Lost
1119,2023-06-05,3,693.75,576,2,3,3,8,At-Risk
1120,2024-10-11,6,1659.28,82,5,5,5,15,champions
1121,2022-04-21,1,427.2,986,1,1,2,4,Lost
1122,2024-07-20,2,1130.08,165,4,2,4,10,New Customers
1123,2024-01-26,2,648.0699999999999,341,3,2,3,8,Potential Loyalists
1124,2022-10-03,2,343.63,821,1,2,2,5,Hibernating
1125,2023-07-11,1,821.67,540,2,1,3,6,Hibernating
1126,2024-09-25,1,211.44,98,4,1,1,6,New Customers
1127,2024-03-04,6,1764.4,303,3,5,5,13,Loyal Customers
1128,2022-12-28,2,803.89,735,1,2,3,6,Hibernating
1129,2022-06-21,1,112.74,925,1,1,1,3,Lost
1130,2024-05-07,2,1519.06,239,3,2,5,10,Potential Loyalists
1131,2024-07-20,4,1779.12,165,4,4,5,13,champions
1133,2024-04-29,2,602.72,247,3,2,3,8,Potential Loyalists
1134,2022-07-23,2,1540.36,893,1,2,5,8,Hibernating
1135,2024-02-03,2,484.65,333,3,2,2,7,Hibernating
1136,2024-06-18,1,441.87,197,4,1,2,7,New Customers
1137,2023-12-29,6,1245.24,369,2,5,4,11,At-Risk
1138,2023-11-29,2,258.98,399,2,2,1,5,At-Risk
1139,2023-06-25,2,1073.6399999999999,556,2,2,4,8,At-Risk
1140,2024-02-02,3,726.4100000000001,334,3,3,3,9,Loyal Customers
1142,2024-12-06,3,773.25,26,5,3,3,11,Loyal Customers
1144,2024-08-01,3,1391.36,153,4,3,5,12,Loyal Customers
1145,2023-02-19,1,440.94,682,1,1,2,4,Lost
1146,2023-06-05,1,297.22,576,2,1,1,4,Hibernating
1147,2024-12-12,4,2871.1,20,5,4,5,14,champions
1148,2023-12-28,3,322.56,370,2,3,2,7,At-Risk
1149,2024-12-20,1,155.88,12,5,1,1,7,New Customers
1150,2023-09-14,3,898.57,475,2,3,4,9,At-Risk
1151,2022-12-21,3,1612.05,742,1,3,5,9,Cannot Lose Them
1152,2023-04-30,2,182.79000000000002,612,1,2,1,4,Hibernating
1153,2023-08-02,1,609.57,518,2,1,3,6,Hibernating
1155,2023-10-08,2,852.5,451,2,2,3,7,At-Risk
1156,2024-01-18,2,1213.94,349,3,2,4,9,Potential Loyalists
1157,2023-12-23,2,3079.87,375,2,2,5,9,At-Risk
1158,2022-12-19,2,293.79,744,1,2,1,4,Hibernating
1159,2023-01-02,1,646.58,730,1,1,3,5,Lost
1160,2024-05-27,2,628.14,219,3,2,3,8,Potential Loyalists
1161,2023-02-10,3,619.59,691,1,3,3,7,Cannot Lose Them
1162,2024-12-13,4,775.34,19,5,4,3,12,Loyal Customers
1163,2024-06-24,1,68.16,191,4,1,1,6,New Customers
1164,2024-12-17,5,2573.13,15,5,5,5,15,champions
1165,2024-02-06,2,338.48,330,3,2,2,7,Hibernating
1166,2024-09-13,2,469.24,110,4,2,2,8,New Customers
1167,2023-01-02,1,139.76,730,1,1,1,3,Lost
1168,2024-11-05,3,761.26,57,5,3,3,11,Loyal Customers
1169,2023-07-10,5,1146.26,541,2,5,4,11,At-Risk
1170,2024-06-14,2,542.4300000000001,201,4,2,2,8,New Customers
1171,2024-11-29,5,590.26,33,5,5,3,13,Loyal Customers
1173,2024-02-06,4,482.49,330,3,4,2,9,Loyal Customers
1174,2024-05-10,1,594.12,236,3,1,3,7,Hibernating
1176,2023-08-01,2,422.51,519,2,2,2,6,At-Risk
1177,2024-09-09,2,365.65999999999997,114,4,2,2,8,New Customers
1178,2024-04-25,2,339.5,251,3,2,2,7,Hibernating
1180,2024-07-05,3,639.9,180,4,3,3,10,Loyal Customers
1181,2023-10-19,1,80.9,440,2,1,1,4,Hibernating
1182,2024-09-06,2,587.38,117,4,2,3,9,New Customers
1183,2024-11-08,1,312.24,54,5,1,1,7,New Customers
1184,2024-02-03,2,659.31,333,3,2,3,8,Potential Loyalists
1185,2024-11-10,4,1860.41,52,5,4,5,14,champions
1186,2023-11-16,1,169.37,412,2,1,1,4,Hibernating
1188,2024-06-20,3,728.16,195,4,3,3,10,Loyal Customers
1189,2022-02-11,1,636.87,1055,1,1,3,5,Lost
1190,2024-11-05,5,1288.24,57,5,5,4,14,champions
1191,2023-12-16,1,295.75,382,2,1,1,4,Hibernating
1192,2022-12-24,1,51.91,739,1,1,1,3,Lost
1193,2023-01-14,2,428.81,718,1,2,2,5,Hibernating
1194,2024-11-23,2,443.71000000000004,39,5,2,2,9,New Customers
1195,2024-03-14,3,585.4100000000001,293,3,3,3,9,Loyal Customers
1196,2024-03-25,1,192.38,282,3,1,1,5,Hibernating
1197,2023-09-09,3,741.35,480,2,3,3,8,At-Risk
1198,2024-04-16,5,2301.34,260,3,5,5,13,Loyal Customers
1199,2024-11-27,5,2431.5,35,5,5,5,15,champions
1200,2024-07-02,3,1351.21,183,4,3,4,11,Loyal Customers
1201,2024-07-02,2,795.91,183,4,2,3,9,New Customers
1202,2024-09-24,2,607.04,99,4,2,3,9,New Customers
1203,2024-08-13,1,358.02,141,4,1,2,7,New Customers
1204,2023-07-29,3,771.1800000000001,522,2,3,3,8,At-Risk
1205,2024-10-27,4,766.08,66,5,4,3,12,Loyal Customers
1206,2023-05-28,2,938.84,584,2,2,4,8,At-Risk
1207,2024-10-31,2,672.99,62,5,2,3,10,New Customers
1208,2024-11-18,3,976.3800000000001,44,5,3,4,12,Loyal Customers
1209,2024-08-16,3,854.48,138,4,3,3,10,Loyal Customers
1210,2023-02-11,1,510.07,690,1,1,2,4,Lost
1211,2023-11-26,6,1029.63,402,2,5,4,11,At-Risk
1212,2022-07-27,1,484.58,889,1,1,2,4,Lost
1213,2023-10-07,4,1064.66,452,2,4,4,10,At-Risk
1214,2022-07-28,1,448.66,888,1,1,2,4,Lost
1218,2024-12-25,2,572.3299999999999,7,5,2,3,10,New Customers
1219,2023-06-07,2,451.28999999999996,574,2,2,2,6,At-Risk
1220,2024-07-14,3,1384.5100000000002,171,4,3,5,12,Loyal Customers
1221,2024-11-20,2,232.29,42,5,2,1,8,New Customers
1222,2024-04-06,1,171.16,270,3,1,1,5,Hibernating
1223,2024-08-19,2,171.85,135,4,2,1,7,New Customers
1224,2022-12-03,2,927.1,760,1,2,4,7,Hibernating
1225,2023-03-31,3,1033.17,642,1,3,4,8,Cannot Lose Them
1226,2024-09-20,5,1933.55,103,4,5,5,14,champions
1227,2022-10-09,2,830.44,815,1,2,3,6,Hibernating
1228,2023-04-19,3,1079.07,623,1,3,4,8,Cannot Lose Them
1229,2024-05-17,2,1570.33,229,3,2,5,10,Potential Loyalists
1230,2024-10-25,5,2364.0299999999997,68,5,5,5,15,champions
1231,2023-03-11,1,998.25,662,1,1,4,6,Lost
1232,2024-11-16,6,2566.71,46,5,5,5,15,champions
1234,2022-08-06,1,200.87,879,1,1,1,3,Lost
1235,2023-10-23,3,1892.19,436,2,3,5,10,At-Risk
1236,2024-04-10,3,592.44,266,3,3,3,9,Loyal Customers
1237,2024-03-19,6,1747.1200000000001,288,3,5,5,13,Loyal Customers
1238,2024-08-11,4,1188.94,143,4,4,4,12,champions
1239,2023-12-08,1,149.45,390,2,1,1,4,Hibernating
1240,2023-09-04,2,436.05,485,2,2,2,6,At-Risk
1241,2023-04-12,4,973.73,630,1,4,4,9,Cannot Lose Them
1242,2023-11-02,4,1119.5800000000002,426,2,4,4,10,At-Risk
1243,2023-06-14,2,352.72,567,2,2,2,6,At-Risk
1244,2024-11-23,2,754.8499999999999,39,5,2,3,10,New Customers
1245,2023-09-18,2,285.38,471,2,2,1,5,At-Risk
1246,2024-06-19,2,692.51,196,4,2,3,9,New Customers
1247,2022-02-03,1,890.38,1063,1,1,4,6,Lost
1249,2024-07-31,5,1645.68,154,4,5,5,14,champions
1250,2024-11-05,2,997.6800000000001,57,5,2,4,11,New Customers
1251,2024-09-01,4,1354.66,122,4,4,5,13,champions
1252,2024-08-23,6,1717.06,131,4,5,5,14,champions
1253,2024-11-08,4,904.8100000000001,54,5,4,4,13,champions
1254,2024-09-07,1,450.11,116,4,1,2,7,New Customers
1255,2024-11-18,1,436.07,44,5,1,2,8,New Customers
1256,2022-12-08,1,263.97,755,1,1,1,3,Lost
1257,2023-05-31,2,606.92,581,2,2,3,7,At-Risk
1258,2023-05-02,1,128.65,610,1,1,1,3,Lost
1259,2024-09-13,3,419.95000000000005,110,4,3,2,9,Loyal Customers
1260,2024-03-05,5,1895.9,302,3,5,5,13,Loyal Customers
1261,2024-12-22,3,593.67,10,5,3,3,11,Loyal Customers
1262,2024-08-18,2,694.63,136,4,2,3,9,New Customers
1263,2022-08-22,1,141.51,863,1,1,1,3,Lost
1264,2024-10-30,2,523.81,63,5,2,2,9,New Customers
1266,2023-02-28,2,653.98,673,1,2,3,6,Hibernating
1267,2024-12-09,8,2577.1,23,5,5,5,15,champions
1268,2022-06-15,1,560.92,931,1,1,2,4,Lost
1269,2022-03-28,1,87.07,1010,1,1,1,3,Lost
1270,2023-09-18,2,142.62,471,2,2,1,5,At-Risk
1272,2023-09-30,2,323.15999999999997,459,2,2,2,6,At-Risk
1273,2024-05-01,2,491.48,245,3,2,2,7,Hibernating
1274,2024-04-06,3,1206.64,270,3,3,4,10,Loyal Customers
1275,2023-03-10,2,468.54999999999995,663,1,2,2,5,Hibernating
1276,2022-09-14,1,407.31,840,1,1,2,4,Lost
1277,2024-12-25,6,2080.52,7,5,5,5,15,champions
1278,2024-09-29,4,1167.56,94,4,4,4,12,champions
1279,2024-09-18,6,1254.25,105,4,5,4,13,champions
1280,2024-02-27,2,642.67,309,3,2,3,8,Potential Loyalists
1281,2024-01-31,6,4364.62,336,3,5,5,13,Loyal Customers
1282,2024-07-08,4,964.04,177,4,4,4,12,champions
1283,2024-12-11,2,1024.95,21,5,2,4,11,New Customers
1284,2024-02-03,2,823.24,333,3,2,3,8,Potential Loyalists
1285,2022-08-27,2,485.79999999999995,858,1,2,2,5,Hibernating
1286,2024-06-19,5,1558.23,196,4,5,5,14,champions
1287,2024-06-20,2,750.0,195,4,2,3,9,New Customers
1288,2024-06-20,1,499.69,195,4,1,2,7,New Customers
1289,2022-05-20,2,253.76,957,1,2,1,4,Hibernating
1290,2022-10-31,3,1641.06,793,1,3,5,9,Cannot Lose Them
1291,2024-06-15,3,684.39,200,4,3,3,10,Loyal Customers
1292,2022-10-14,1,307.7,810,1,1,1,3,Lost
1293,2022-02-28,1,54.93,1038,1,1,1,3,Lost
1294,2023-05-24,3,610.42,588,2,3,3,8,At-Risk
1295,2024-10-02,4,1388.36,91,5,4,5,14,champions
1296,2022-07-11,1,711.5,905,1,1,3,5,Lost
1297,2023-05-06,2,703.61,606,1,2,3,6,Hibernating
1298,2024-01-23,2,654.29,344,3,2,3,8,Potential Loyalists
1299,2023-10-24,2,426.9,435,2,2,2,6,At-Risk
1300,2023-08-26,2,491.81,494,2,2,2,6,At-Risk
1301,2024-11-19,6,1629.0700000000002,43,5,5,5,15,champions
1303,2023-06-24,2,879.22,557,2,2,3,7,At-Risk
1304,2022-04-11,1,98.96,996,1,1,1,3,Lost
1305,2024-09-06,1,130.88,117,4,1,1,6,New Customers
1306,2024-10-02,1,157.32,91,5,1,1,7,New Customers
1308,2023-04-12,2,187.41,630,1,2,1,4,Hibernating
1311,2024-06-03,1,347.61,212,3,1,2,6,Hibernating
1312,2024-06-09,3,1033.15,206,3,3,4,10,Loyal Customers
1313,2024-06-02,3,1116.73,213,3,3,4,10,Loyal Customers
1314,2024-03-06,7,2237.58,301,3,5,5,13,Loyal Customers
1315,2024-04-06,4,1093.97,270,3,4,4,11,Loyal Customers
1316,2024-07-30,3,339.21000000000004,155,4,3,2,9,Loyal Customers
1317,2023-06-22,2,308.85,559,2,2,1,5,At-Risk
1318,2023-09-07,3,1284.31,482,2,3,4,9,At-Risk
1319,2024-05-25,3,949.79,221,3,3,4,10,Loyal Customers
1320,2024-12-14,3,779.73,18,5,3,3,11,Loyal Customers
1321,2023-05-13,1,673.26,599,1,1,3,5,Lost
1322,2023-05-04,1,732.43,608,1,1,3,5,Lost
1324,2024-08-06,1,216.29,148,4,1,1,6,New Customers
1325,2023-02-22,1,140.39,679,1,1,1,3,Lost
1326,2024-06-02,4,1714.4099999999999,213,3,4,5,12,Loyal Customers
1327,2022-09-06,1,93.3,848,1,1,1,3,Lost
1328,2024-12-28,4,664.72,4,5,4,3,12,Loyal Customers
1329,2023-09-07,1,250.11,482,2,1,1,4,Hibernating
1330,2024-06-23,2,1349.92,192,4,2,4,10,New Customers
1331,2022-12-01,2,2278.89,762,1,2,5,8,Hibernating
1332,2022-05-11,1,409.39,966,1,1,2,4,Lost
1333,2024-04-26,2,1857.6399999999999,250,3,2,5,10,Potential Loyalists
1334,2022-11-30,1,546.71,763,1,1,2,4,Lost
1335,2024-09-23,4,2884.71,100,4,4,5,13,champions
1336,2024-02-19,3,502.93,317,3,3,2,8,Loyal Customers
1337,2024-10-12,1,208.15,81,5,1,1,7,New Customers
1338,2022-12-03,1,183.89,760,1,1,1,3,Lost
1339,2022-10-26,2,522.5799999999999,798,1,2,2,5,Hibernating
1340,2023-09-28,7,1864.26,461,2,5,5,12,At-Risk
1341,2024-10-31,3,762.34,62,5,3,3,11,Loyal Customers
1342,2024-06-28,5,1314.71,187,4,5,4,13,champions
1343,2024-07-11,1,265.28,174,4,1,1,6,New Customers
1344,2024-03-10,1,326.67,297,3,1,2,6,Hibernating
1345,2023-02-01,1,76.3,700,1,1,1,3,Lost
1346,2024-02-23,3,788.99,313,3,3,3,9,Loyal Customers
1347,2024-04-22,3,639.34,254,3,3,3,9,Loyal Customers
1348,2024-01-27,1,555.85,340,3,1,2,6,Hibernating
1349,2024-01-11,3,1238.58,356,3,3,4,10,Loyal Customers
1350,2024-01-24,1,971.21,343,3,1,4,8,Hibernating
1351,2023-09-21,1,191.75,468,2,1,1,4,Hibernating
1352,2024-06-08,2,596.17,207,3,2,3,8,Potential Loyalists
1353,2024-04-29,2,245.91,247,3,2,1,6,Hibernating
1354,2024-02-01,4,1498.7,335,3,4,5,12,Loyal Customers
1355,2023-08-03,3,778.94,517,2,3,3,8,At-Risk
1356,2024-04-29,2,396.73999999999995,247,3,2,2,7,Hibernating
1357,2024-11-07,5,667.22,55,5,5,3,13,Loyal Customers
1358,2022-02-23,1,347.06,1043,1,1,2,4,Lost
1359,2023-04-30,4,838.16,612,1,4,3,8,Cannot Lose Them
1360,2024-02-27,3,557.95,309,3,3,2,8,Loyal Customers
1361,2024-07-04,1,340.47,181,4,1,2,7,New Customers
1362,2023-06-21,2,389.58000000000004,560,2,2,2,6,At-Risk
1364,2022-04-27,1,524.82,980,1,1,2,4,Lost
1365,2023-12-06,1,222.38,392,2,1,1,4,Hibernating
1366,2023-12-19,3,494.61,379,2,3,2,7,At-Risk
1367,2024-03-15,3,1070.79,292,3,3,4,10,Loyal Customers
1368,2022-04-02,1,96.86,1005,1,1,1,3,Lost
1369,2024-05-29,2,342.01,217,3,2,2,7,Hibernating
1370,2024-11-16,2,339.77,46,5,2,2,9,New Customers
1371,2023-02-06,1,583.46,695,1,1,3,5,Lost
1372,2024-12-23,5,1587.53,9,5,5,5,15,champions
1374,2023-01-11,2,1039.74,721,1,2,4,7,Hibernating
1375,2024-01-23,3,885.45,344,3,3,4,10,Loyal Customers
1376,2024-12-25,3,664.33,7,5,3,3,11,Loyal Customers
1377,2024-10-26,2,583.69,67,5,2,3,10,New Customers
1378,2024-02-26,4,835.9000000000001,310,3,4,3,10,Loyal Customers
1379,2024-01-22,4,884.5,345,3,4,3,10,Loyal Customers
1380,2024-08-03,2,869.33,151,4,2,3,9,New Customers
1382,2023-10-07,1,408.95,452,2,1,2,5,Hibernating
1383,2024-09-11,6,2343.78,112,4,5,5,14,champions
1384,2023-03-12,2,250.06,661,1,2,1,4,Hibernating
1385,2024-05-28,5,958.19,218,3,5,4,12,Loyal Customers
1386,2022-09-07,1,97.03,847,1,1,1,3,Lost
1387,2024-12-30,2,704.8399999999999,2,5,2,3,10,New Customers
1388,2023-12-28,3,653.53,370,2,3,3,8,At-Risk
1389,2023-04-02,3,2590.2599999999998,640,1,3,5,9,Cannot Lose Them
1390,2023-11-15,1,158.45,413,2,1,1,4,Hibernating
1391,2023-12-14,2,801.6600000000001,384,2,2,3,7,At-Risk
1392,2024-11-20,4,900.09,42,5,4,4,13,champions
1393,2024-01-17,2,1189.29,350,3,2,4,9,Potential Loyalists
1395,2023-10-20,1,83.27,439,2,1,1,4,Hibernating
1396,2024-01-02,3,745.69,365,2,3,3,8,At-Risk
1398,2023-12-05,1,101.59,393,2,1,1,4,Hibernating
1400,2023-12-16,3,547.28,382,2,3,2,7,At-Risk
1401,2024-12-12,3,866.01,20,5,3,3,11,Loyal Customers
1402,2024-11-06,4,1749.91,56,5,4,5,14,champions
1403,2022-12-18,1,387.56,745,1,1,2,4,Lost
1404,2024-12-18,1,273.37,14,5,1,1,7,New Customers
1405,2024-07-09,2,282.43,176,4,2,1,7,New Customers
1410,2024-10-21,5,1210.63,72,5,5,4,14,champions
1411,2023-08-17,2,706.8399999999999,503,2,2,3,7,At-Risk
1412,2024-07-17,4,1684.02,168,4,4,5,13,champions
1413,2024-06-12,3,689.32,203,4,3,3,10,Loyal Customers
1414,2024-01-12,3,1016.9599999999999,355,3,3,4,10,Loyal Customers
1415,2023-10-06,1,133.62,453,2,1,1,4,Hibernating
1417,2022-06-12,2,1412.01,934,1,2,5,8,Hibernating
1418,2024-02-23,4,702.0,313,3,4,3,10,Loyal Customers
1419,2023-04-20,3,1045.49,622,1,3,4,8,Cannot Lose Them
1420,2024-11-15,4,1341.94,47,5,4,4,13,champions
1421,2024-05-23,2,317.37,223,3,2,1,6,Hibernating
1422,2023-06-14,3,1197.91,567,2,3,4,9,At-Risk
1423,2024-02-12,5,2511.85,324,3,5,5,13,Loyal Customers
1424,2023-04-19,1,342.88,623,1,1,2,4,Lost
1425,2024-02-03,1,135.09,333,3,1,1,5,Hibernating
1426,2022-05-23,1,102.8,954,1,1,1,3,Lost
1427,2024-05-10,4,694.62,236,3,4,3,10,Loyal Customers
1428,2023-11-20,1,738.46,408,2,1,3,6,Hibernating
1429,2023-08-17,1,298.43,503,2,1,1,4,Hibernating
1430,2024-05-29,1,285.07,217,3,1,1,5,Hibernating
1431,2022-08-21,1,102.55,864,1,1,1,3,Lost
1432,2024-12-02,4,1653.7,30,5,4,5,14,champions
1433,2023-07-15,1,250.84,536,2,1,1,4,Hibernating
1434,2023-10-29,1,283.38,430,2,1,1,4,Hibernating
1435,2024-09-09,6,2629.47,114,4,5,5,14,champions
1436,2024-09-25,2,683.73,98,4,2,3,9,New Customers
1437,2023-04-17,4,1358.43,625,1,4,5,10,Cannot Lose Them
1438,2024-07-12,2,174.55,173,4,2,1,7,New Customers
1440,2023-05-10,3,512.3299999999999,602,1,3,2,6,Hibernating
1441,2023-08-09,1,238.0,511,2,1,1,4,Hibernating
1442,2023-09-05,3,1100.23,484,2,3,4,9,At-Risk
1443,2024-03-20,2,510.1,287,3,2,2,7,Hibernating
1444,2023-04-29,1,426.86,613,1,1,2,4,Lost
1445,2023-01-02,2,1684.2600000000002,730,1,2,5,8,Hibernating
1446,2024-08-21,2,292.99,133,4,2,1,7,New Customers
1447,2024-11-18,1,307.76,44,5,1,1,7,New Customers
1448,2024-11-01,6,1620.83,61,5,5,5,15,champions
1449,2024-03-15,3,513.59,292,3,3,2,8,Loyal Customers
1450,2024-10-17,2,486.54,76,5,2,2,9,New Customers
1452,2024-07-23,1,212.84,162,4,1,1,6,New Customers
1453,2023-06-30,2,560.9300000000001,551,2,2,2,6,At-Risk
1454,2024-06-29,2,526.38,186,4,2,2,8,New Customers
1455,2024-11-24,5,1797.1100000000001,38,5,5,5,15,champions
1456,2022-07-07,2,612.56,909,1,2,3,6,Hibernating
1457,2024-09-19,3,669.1700000000001,104,4,3,3,10,Loyal Customers
1458,2024-10-09,3,350.72,84,5,3,2,10,Loyal Customers
1459,2023-07-29,2,370.6,522,2,2,2,6,At-Risk
1460,2024-05-17,3,505.61,229,3,3,2,8,Loyal Customers
1461,2022-05-12,1,45.03,965,1,1,1,3,Lost
1462,2024-12-28,4,1722.04,4,5,4,5,14,champions
1463,2024-07-27,3,998.7,158,4,3,4,11,Loyal Customers
1464,2024-07-25,5,1590.1599999999999,160,4,5,5,14,champions
1465,2024-08-28,5,1108.38,126,4,5,4,13,champions
1466,2024-07-03,2,508.81,182,4,2,2,8,New Customers
1467,2023-07-29,5,1950.9,522,2,5,5,12,At-Risk
1468,2024-07-28,2,1002.59,157,4,2,4,10,New Customers
1469,2024-08-04,2,333.19,150,4,2,2,8,New Customers
